n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
5,0,1,12,120001,True,59,False,100,0.718277789532749,0.009968443308025599,0.22148489234828922,0.18710789041080123,0.43350456567236323,0.6612054646196448,0.8095497664233043,0.0006407143356499712,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,21,210001,True,102,False,100,0.7431400910314013,0.010666597168892622,0.40960017556833106,0.3244392383170536,1.2200215289373926,0.9708600818580513,0.6123340789110414,0.000591755385787945,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,26,260001,True,61,False,100,0.7526449899579917,0.0113936522975564,0.2989035102779403,0.24081370571749014,0.7151372951862829,0.7583085520225659,0.7515153863020794,0.0009620103663429511,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,8,80001,True,48,False,100,0.7378021846205323,0.018253318965435028,0.19771633771474853,0.15715838944048016,0.4266194213000885,0.6235679394398922,0.8249592102774791,0.0017901953071820151,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,20,200001,True,67,False,100,0.6590887302757289,0.016166134737432003,0.349505489445692,0.26467298087491276,1.248467403091455,0.8506708436389187,0.6995473436444382,0.0017496124394403957,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,11,110001,True,70,False,100,0.5452943238107938,0.017831032164394855,0.3533834805332677,0.2677490700580804,1.1377552988726691,1.0419596614363593,0.7186220561016823,0.0012232136271618725,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,25,250001,True,57,False,100,0.8712557646081711,0.018957403022795916,0.3721374080869356,0.2789863002736863,1.105211287916551,0.8508266200180092,0.6964299943462234,0.0006233146385113221,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,27,270001,True,65,False,100,0.6557385688505591,0.01990160485729575,0.35390255481369215,0.2841443594415367,1.515465463752507,1.5762804725960835,0.6982805643802857,0.0009107480678861251,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,1,1001,13,130001,True,62,False,100,0.7622937846217469,0.020590960048139095,0.3760318769332808,0.3084368238417842,0.9972678365835264,0.8743838111742317,0.6781870521333343,0.0009857833469243131,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,19,190001,True,63,False,100,0.6700104930430736,0.010753456968814135,0.2038566882758817,0.1598247338650252,0.44264506387412117,0.6551355076715786,0.8074900485036534,0.0001555159468199405,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,17,170001,True,75,False,100,0.6675444134378812,0.012034886982291937,0.34046609524499477,0.26049424042819613,0.8405318198334449,0.7946452828263912,0.7226360148656743,0.0013152616278605677,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,16,160001,True,56,False,100,0.7794654686395939,0.018149309791624546,0.3181877046427341,0.26783316245637,1.1415404365060369,1.80552350116868,0.7158354201866562,0.0016108426887954433,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,24,240001,True,99,False,100,0.8573263233675178,0.016850780230015516,0.2611340498355747,0.20586472597673713,0.6431017251322585,0.7203002763758872,0.7722884551716862,0.000600589991916243,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,2,20001,True,50,False,100,0.6481448255893074,0.007425692863762379,0.29869749358019315,0.22528282041638523,1.0513373692666312,0.7615684874076083,0.7412857567346489,0.0010562918542722113,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,27,270001,True,74,False,100,0.6557385688505591,0.011063775047659874,0.3477300683755696,0.26782552113529084,1.2154176871133937,0.8179011648488721,0.7105120097331886,0.0006122761285492862,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,2,2001,8,80001,True,52,False,100,0.7378021846205323,0.024453890044242144,0.22880617440219403,0.16641575725682575,0.7186793243999253,0.6313588639782014,0.817872412970637,0.0019745859146877145,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,4,40001,True,60,False,100,0.6497839792320272,0.007980468217283487,0.26257344686112255,0.19880917293999284,0.7243705623149856,0.7663483618826368,0.7230643243545507,0.0012489100013037486,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,7,70001,True,39,False,100,0.752797959847825,0.008445913903415203,0.1227530326810469,0.109059372191258,0.2471262289690189,0.5454419887773264,0.8678583395883803,0.0004842633636344133,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,5,50001,True,53,False,100,0.7981756372625675,0.009732874110341072,0.3442722579357489,0.2705598077727721,1.4955623535353944,1.2823909154377988,0.7387574028728991,0.0008715744553376872,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,12,120001,True,61,False,100,0.718277789532749,0.012048217002302408,0.18242314992798847,0.15092628199888944,0.39821836665325194,0.6424894385645448,0.8197689021714141,0.0009802011173142204,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,4,4001,0,1,True,55,False,100,0.8105587581235082,0.007544032298028469,0.33085629428781765,0.25225574400397144,1.0310505718436809,0.8428409060070885,0.6809071136333668,0.002028696239975015,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,9,90001,True,163,False,100,0.8702724024523968,0.01531657064333558,0.31910904595402273,0.23395197607353174,1.5269615337087852,1.75162178448861,0.7245992393221926,0.001347068001767312,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,25,250001,True,99,False,100,0.8712557646081711,0.009069188963621855,0.34272930489525255,0.2559538008662207,1.3581176830522033,0.9455334815057522,0.6991948158736914,0.001092447485678581,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,21,210001,True,55,False,100,0.7431400910314013,0.010262090247124434,0.38351389562689076,0.3102255055913111,0.8953443777593831,0.8952734881741633,0.6489272031872382,0.0005322608522340784,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,13,130001,True,88,False,100,0.7622937846217469,0.010075931902974844,0.32688570999622496,0.24132908949320092,1.141794195293617,0.8050283180187755,0.697256155431081,0.001017793386126255,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,16,160001,True,50,False,100,0.7794654686395939,0.012933579739183187,0.3267478933078484,0.24399051857636073,1.315104922612505,0.8559347730651563,0.7084041726780752,0.0015179496163439054,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,15,150001,True,79,False,100,0.6532913944757328,0.012515243142843246,0.3675877424797496,0.2878865916446647,0.9218290447999251,0.9074730670798046,0.6399020533598317,0.0006220980510249362,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,18,180001,True,57,False,100,0.7280983049752222,0.011888167820870876,0.32618724859368164,0.25882282210698315,1.0501524418361659,0.8122107559025582,0.719455572802633,0.0009199917872642178,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,1,1001,15,150001,True,55,False,100,0.6532913944757328,0.006888025905936956,0.3393055606223383,0.26780425664099394,1.3754265558861263,0.9602068425556322,0.6742546952502613,0.00012625541458099413,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,23,230001,True,83,False,100,0.6023814891064135,0.01196686690673232,0.36741140245671733,0.27281989262019773,1.0844566902140693,0.9002126604142933,0.6456264087324728,0.00038069154779103926,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,4,4001,4,40001,True,57,False,100,0.6497839792320272,0.008640523068606853,0.3334505754334633,0.25464711376642285,1.2101836633378973,0.8385356528197846,0.6972741384692189,0.001244650811943942,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,3,3001,26,260001,True,54,False,100,0.7526449899579917,0.012278144247829914,0.2773197251200919,0.22079311414406638,0.7361529476076186,0.7334281089490662,0.7603317727936528,0.0014231100387765907,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
5,0,1,4,40001,True,92,False,100,0.6497839792320272,0.023000142071396112,0.33579601587750973,0.24465693150007084,1.0991562713221876,1.0031638710951913,0.6906832667676779,0.0013471174605065798,13,8,0.570087712549569,2500,fast_ICA,iid,False,5
