n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
0,1,1001,6,60001,True,98,False,10,0.6726132752906506,13.38748572487384,0.697879257718626,0.768357294054666,1.0388435434831582,1.3230311650208522,0.4468737578933444,0.00014841810430587794,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,0,1,True,101,False,10,0.728360490132139,13.908065470866859,0.6954004283679364,0.7677321955581662,1.0997086467924606,1.2507255999518696,0.5034466401685521,0.00011901553067221488,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,22,220001,True,101,False,10,0.7813928824630064,13.658638332039118,0.6717906609734823,0.7309327353980528,1.2058714744254175,1.302235547643517,0.4891869404921442,0.00013832911015624136,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,0,1,True,95,False,10,0.728360490132139,14.069071528036147,0.6620923501748557,0.7242579702376716,1.1382882625557875,1.2199918165628179,0.500519368395429,0.00017351277841358957,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,12,120001,True,101,False,10,0.7105444177507565,14.14950106618926,0.6862272661649613,0.7501725712154976,0.9768224070710169,1.3327978934812545,0.48486683372768896,0.00013711417511668754,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,11,110001,True,94,False,10,0.5724190145075325,14.368976924102753,0.7066618555900379,0.78417597097592,0.9499350227871609,1.2448111127986607,0.5229343660794418,0.00018556803804533573,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,20,200001,True,96,False,10,0.6934164644306102,14.618328935001045,0.6685303773028104,0.7253147358166372,1.1115852037743066,1.1792790283444772,0.5382303514504122,0.00015910496583121603,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,3,3001,4,40001,True,98,False,10,0.6218638201707222,13.27475366089493,0.6981789981670942,0.7697068149925592,1.0036861430616613,1.39549078228009,0.48945957850670907,0.0001716925902082593,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,2,2001,10,100001,True,95,False,10,0.6337971914571734,13.995652601122856,0.6714984389293731,0.7338606427852127,0.9417166349251224,1.2228489861901384,0.5059793598170383,0.00017920000631295026,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,9,90001,True,94,False,10,0.7068315747252887,15.174068215768784,0.6739750082074147,0.7398889726536685,1.2231362715441059,1.3557658595118298,0.4718738264746241,0.00017470329230740494,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,28,280001,True,96,False,10,0.627683957399817,15.287368305027485,0.6210731053345094,0.6502160481864347,1.1133564616126952,1.0964753361382493,0.5808486094579505,0.00016574892849693896,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,7,70001,True,97,False,10,0.8382587924441819,15.52716579195112,0.6761871678205637,0.7395703137947502,0.9456814602476459,1.2384081101134277,0.5071821583519256,0.00013923881880627015,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,14,140001,True,101,False,10,0.6620912600811256,15.518230612855405,0.6721103882059204,0.7349034106216425,1.0633848554238612,1.1124422746912659,0.5777480828371448,0.0001278866805203772,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,1,10001,True,97,False,10,0.7382440933013679,15.886892819777131,0.5983472812290425,0.6258321150379454,1.1025774128103278,1.1043369100308305,0.5568017980176737,0.00015453896437758708,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,28,280001,True,98,False,10,0.627683957399817,15.378493998665363,0.6751854720547864,0.7530392802112374,1.1763562405057486,1.498905158517006,0.5381563024346229,0.00016015799613118542,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,3,3001,12,120001,True,98,False,10,0.7105444177507565,14.309269782155752,0.6424005098493247,0.6931385738601953,1.0004014807011734,1.1825126372326973,0.49542872630670004,0.00015335290905431486,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,2,2001,18,180001,True,95,False,10,0.6965609700551861,15.001979167107493,0.5889521838659266,0.6140992555290316,0.9966314737984082,1.0120351476929708,0.6227547763750411,0.00018075617274851695,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,2,2001,23,230001,True,96,False,10,0.7476436443643771,14.825975534971803,0.7010109140056341,0.7766622181661949,0.9560557895248579,1.302703955752426,0.4603704233092527,0.00017779061075442614,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,23,230001,True,94,False,10,0.7476436443643771,15.704689742065966,0.6828002946908364,0.7537247831623529,1.1889814231084082,1.3179666977587692,0.4930450641550166,0.00017676105869033037,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,1,1001,9,90001,True,99,False,10,0.7068315747252887,16.216852388344705,0.6511292061959845,0.702813144772235,1.0554244650175364,1.1552132948264842,0.5712799284471154,0.00013744786502266327,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
0,0,1,24,240001,True,96,False,10,0.8228019441490303,16.376546553801745,0.62716976660477,0.6656155109258346,1.235948093614245,1.1456915567410375,0.5639274838616573,0.00014545925279860184,11,10,0.469041575982343,5000,OLS_iid,iid,False,5
